id,query,label,word_count,cleaned_query,augmented_data,tokens,lemmatized_data
24,چند واحد می تونم هر ترم انتخاب کنم؟,1,9.0,چند واحد می‌تونم هر ترم انتخاب کنم,چند اهنگ میتونم تو شب انتخاب کنم,"['چند', 'واحد', 'می\u200cتونم', 'هر', 'ترم', 'انتخاب', 'کنم']","['چند', 'واحد', 'می\u200cتونم', 'هر', 'تر', 'انتخاب', 'کرد#کن']"
25,اتاق بازی و فوتبال دستیو برگردونید.,4,7.0,اتاق بازی و فوتبال دستیو برگردونید,و بازی توپ فوتبال کجا برگردونید,"['اتاق', 'بازی', 'فوتبال', 'دستیو', 'برگردونید']","['اتاق', 'بازی', 'فوتبال', 'دستیو', 'برگردونید']"
26,استاد محمدی رفتار بسیار محترمانه ای با دانشجو دارد,4,9.0,استاد محمدی رفتار بسیار محترمانه‌ای با دانشجو دارد,استاد حکمت رفتار غیر محترمانهای با روحانی دارد,"['استاد', 'محمدی', 'رفتار', 'بسیار', 'محترمانه\u200cای', 'دانشجو', 'دارد']","['استاد', 'محمدی', 'رفتار', 'بسیار', 'محترمانه', 'دانشجو', 'داشت#دار']"
27,دانلود فیلم Manchester by the sea,5,6.0,دانلود فیلم manchester by the sea,دانلود فیلم manchester united the thief,"['دانلود', 'فیلم', 'manchester', 'by', 'the', 'sea']","['دانلود', 'فیلم', 'manchester', 'by', 'the', 'sea']"
28,شماره اتاق دکتر شمس فرد چند است؟,2,8.0,شماره اتاق دکتر شمس فرد چند است,شماره هدیه عروسی شمس فرد ۱۰۳ است,"['شماره', 'اتاق', 'دکتر', 'شمس', 'فرد', 'چند', 'است']","['شماره', 'اتاق', 'دکتر', 'شمس', 'فرد', 'چند', '#است']"
29,زمین چمن دانشگاه کی سانس خالی داره؟,5,8.0,زمین چمن دانشگاه کی سانس خالی داره,زمین چمن دانشگاه جم عملکرد جالبی داره,"['زمین', 'چمن', 'دانشگاه', 'کی', 'سانس', 'خالی', 'داره']","['زمین', 'چمن', 'دانشگاه', 'کی', 'سانس', 'خال', 'داره']"
30,از دانشگاه چطور می تونم برم ترمینال؟,5,8.0,از دانشگاه چطور می‌تونم برم ترمینال,در دانشگاه چطور میتونم بخونم ترمینال,"['دانشگاه', 'چطور', 'می\u200cتونم', 'برم', 'ترمینال']","['دانشگاه', 'چطور', 'می\u200cتونم', 'برد#بر', 'ترمینال']"
31,چرا فضای لابی را از دانشجو ها گرفتید؟,4,9.0,چرا فضای لابی را از دانشجو‌ها گرفتید,چرا امکان مانور خارجی از دانشجوها گرفتید,"['چرا', 'فضای', 'لابی', 'دانشجو\u200cها', 'گرفتید']","['چرا', 'فضا', 'لابی', 'دانشجو', 'گرفت#گیر']"
32,گروه های علمی کجان ؟,2,5.0,گروه‌های علمی کجان,وبلاگ علمی تبیان,"['گروه\u200cهای', 'علمی', 'کجان']","['گروه', 'علم', 'کج']"
33,برخی از صندلی های کلاس ها خرابه، لطفا تعمیر بشه.,4,12.0,برخی از صندلی‌های کلاس‌ها خرابه لطفا تعمیر بشه,برخی وقتا وسایل کلاسها خرابه باید تعمیر بشه,"['برخی', 'صندلی\u200cهای', 'کلاس\u200cها', 'خرابه', 'لطفا', 'تعمیر', 'بشه']","['برخی', 'صندلی', 'کلاس', 'خرابه', 'لطفا', 'تعمیر', 'بشه']"
34,امتحان ها کی شروع می شوند؟,1,7.0,امتحان‌ها کی شروع می‌شوند,امتحانها چه تعیین میشوند,"['امتحان\u200cها', 'کی', 'شروع', 'می\u200cشوند']","['امتحان', 'کی', 'شروع', 'شد#شو']"
35,توی گلستان اجازه دیدن رتبه معدل در بین ورودی ها رو بدین.,4,13.0,توی گلستان اجازه دیدن رتبه معدل در بین ورودی‌ها رو بدین,در گلستان ش داد رتبه معدل در همه ورودیها رو بدین,"['توی', 'گلستان', 'اجازه', 'دیدن', 'رتبه', 'معدل', 'بین', 'ورودی\u200cها', 'بدین']","['تو', 'گلستان', 'اجازه', 'دیدن', 'رتبه', 'معدل', 'بین', 'ورودی\u200cها', 'بدین']"
36,حذف و اضافه کی هست,1,5.0,حذف و اضافه کی هست,حذف ؟ حذف کی هست,"['حذف', 'اضافه', 'کی', 'هست']","['حذف', 'اضافه', 'کی', '#هست']"
37,نمره درس کارآموزی توی معدل حساب میشه؟,1,8.0,نمره درس کارآموزی توی معدل حساب میشه,نمره درس هم توی کلاسها اضافه میشه,"['نمره', 'درس', 'کارآموزی', 'توی', 'معدل', 'حساب', 'میشه']","['نمره', 'درس', 'کارآموزی', 'تو', 'معدل', 'حساب', 'میشه']"
38,ثبت نام کجاست؟,1,4.0,ثبت نام کجاست,ثبت نام کن,"['ثبت', 'نام', 'کجاست']","['ثبت', 'نام', 'کجاست']"
39,زمان درس افزار خرابه,4,4.0,زمان درس افزار خرابه,زمان حیات منه خرابه,"['زمان', 'درس', 'افزار', 'خرابه']","['زمان', 'درس', 'افزار', 'خرابه']"
40,چرا گلستان اجازه ی برداشتن این گروه را نمیدهد؟,1,10.0,چرا گلستان اجازه‌ی برداشتن این گروه را نمیدهد,گنبد گلستان جرات برداشتن این گنبد را نمیدهد,"['چرا', 'گلستان', 'اجازه\u200cی', 'برداشتن', 'این', 'گروه', 'نمیدهد']","['چرا', 'گلستان', 'اجازه', 'برداشتن', 'این', 'گروه', 'نمیدهد']"
41,معدل لازم برای مشروط نشدن چقدره؟,1,7.0,معدل لازم برای مشروط نشدن چقدره,معدل شرط یا مشروط نشدن چقدره,"['معدل', 'لازم', 'مشروط', 'نشدن', 'چقدره']","['معدل', 'لازم', 'مشروط', 'نشدن', 'چقدره']"
42,برای مهمان شدن در دانشگاه دیگر باید چه کاری انجام دهم؟,1,12.0,برای مهمان شدن در دانشگاه دیگر باید چه کاری انجام دهم,جهت عالی شدن در دانشگاه شما باید چه کاری انجام بده,"['مهمان', 'شدن', 'دانشگاه', 'دیگر', 'باید', 'چه', 'کاری', 'انجام', 'دهم']","['مهمان', 'شدن', 'دانشگاه', 'دیگر', 'باید', 'چه', 'کاشت#کار', 'انجام', 'دهم']"
43,غذا امروز چیه؟,5,4.0,غذا امروز چیه,قضیهی امروز چیه,"['غذا', 'امروز', 'چیه']","['غذا', 'امروز', 'چیه']"
44,کدوم استاد این ترم ریاضی 2 ارایه میده؟,1,9.0,کدوم استاد این ترم ریاضی ارایه میده,کدوم جای این برات دکترا ارایه میده,"['کدوم', 'استاد', 'این', 'ترم', 'ریاضی', 'ارایه', 'میده']","['کدو', 'استاد', 'این', 'تر', 'ریاضی', 'ارایه', 'میده']"
45,لابی کجاست,2,2.0,لابی کجاست,لابی کنید,"['لابی', 'کجاست']","['لابی', 'کجاست']"
46,استخر کجاست؟,5,3.0,استخر کجاست,استخر ابشار,"['استخر', 'کجاست']","['استخر', 'کجاست']"
47,سایت اسکنر دارد؟,3,4.0,سایت اسکنر دارد,چندین اسکنر دارد,"['سایت', 'اسکنر', 'دارد']","['سایت', 'اسکنر', 'داشت#دار']"
48,درس گرافیک کامپیوتری را ترم بعدی ارائه میدهید؟,1,9.0,درس گرافیک کامپیوتری را ترم بعدی ارائه میدهید,درس پردازش کامپیوتری را ترم بعدی سفارش میدهیم,"['درس', 'گرافیک', 'کامپیوتری', 'ترم', 'بعدی', 'ارائه', 'میدهید']","['درس', 'گرافیک', 'کامپیوتری', 'تر', 'بعد', 'ارائه', 'میدهید']"
49,رئیس دانشگاه چه کسی است؟,2,6.0,رئیس دانشگاه چه کسی است,طبیب دانشگاه چه کسی میشود,"['رئیس', 'دانشگاه', 'چه', 'کسی', 'است']","['رئیس', 'دانشگاه', 'چه', 'کس', '#است']"
50,هوا خیلی سرد شده است,5,4.0,هوا خیلی سرد شده است,زمین خیلی سرد زمستان است,"['هوا', 'خیلی', 'سرد', 'شده_است']","['هوا', 'خیلی', 'سرد', 'شد#شو']"
51,حداکثر چند کتاب رو می تونم همزمان امانت بگیرم؟,3,10.0,حداکثر چند کتاب رو می‌تونم همزمان امانت بگیرم,حداکثر ۳۰ کتاب رو میتونم همزمان هم بندازم,"['حداکثر', 'چند', 'کتاب', 'می\u200cتونم', 'همزمان', 'امانت', 'بگیرم']","['حداکثر', 'چند', 'کتاب', 'می\u200cتونم', 'همزمان', 'امانت', 'گرفت#گیر']"
52,اتاق معاون آموزشی کجاست؟,2,5.0,اتاق معاون آموزشی کجاست,ارشیو واحد اموزشی کجاست,"['اتاق', 'معاون', 'آموزشی', 'کجاست']","['اتاق', 'معاون', 'آموزش', 'کجاست']"
53,تی ای های فلان درس اصلا خوب نیستند!,4,9.0,تی ای‌های فلان درس اصلا خوب نیستند,البته ایهای فلان درس مطلقا مهم نیستند,"['تی', 'ای\u200cهای', 'فلان', 'درس', 'اصلا', 'خوب', 'نیستند']","['تی', 'ای', 'فلان', 'درس', 'اصلا', 'خوب', '#هست']"
54,لطفا تعداد اساتید درس ریزپردازنده را بیشتر کنید,4,8.0,لطفا تعداد اساتید درس ریزپردازنده را بیشتر کنید,تعداد تعداد اساتید درس ریزپردازنده بیشتر مشخص کنید,"['لطفا', 'تعداد', 'اساتید', 'درس', 'ریزپردازنده', 'بیشتر', 'کنید']","['لطفا', 'تعداد', 'اساتید', 'درس', 'ریزپردازنده', 'بیشتر', 'کرد#کن']"
55,دانشگاه سالن دارد؟,5,4.0,دانشگاه سالن دارد,دانشگاه سالن فیزیک,"['دانشگاه', 'سالن', 'دارد']","['دانشگاه', 'سالن', 'داشت#دار']"
56,آیا در حذف اظطراری هر چند واحد می خواهیم می توانیم حذف کنیم؟,1,13.0,آیا در حذف اظطراری هر چند واحد می‌خواهیم می‌توانیم حذف کنیم,اگر در حذف اظطراری خاصی چند وقت میخواهیم تغییری حذف کنیم,"['آیا', 'حذف', 'اظطراری', 'هر', 'چند', 'واحد', 'می\u200cخواهیم', 'می\u200cتوانیم', 'حذف', 'کنیم']","['آیا', 'حذف', 'اظطراری', 'هر', 'چند', 'واحد', 'خواست#خواه', 'توانست#توان', 'حذف', 'کرد#کن']"
57,سلف غذاخوری کجاست؟,2,4.0,سلف غذاخوری کجاست,خوراک غذاخوری کجاست,"['سلف', 'غذاخوری', 'کجاست']","['سلف', 'غذاخوری', 'کجاست']"
58,می خواهم دانشکده را برای جشن عروسی رزرو کنم.,2,9.0,می‌خواهم دانشکده را برای جشن عروسی رزرو کنم,مایلم دانشکده را برای جشن فارغالتحصیلی اجاره کنم,"['می\u200cخواهم', 'دانشکده', 'جشن', 'عروسی', 'رزرو', 'کنم']","['خواست#خواه', 'دانشکده', 'جشن', 'عروس', 'رزرو', 'کرد#کن']"
59,دستشویی کجاست؟,2,3.0,دستشویی کجاست,دستشویی دور,"['دستشویی', 'کجاست']","['دستشویی', 'کجاست']"
60,تعداد انجمن علمی ها خیلی کم است,4,7.0,تعداد انجمن علمی‌ها خیلی کم است,به انجمن مشاوران خیلی کم میبینید,"['تعداد', 'انجمن', 'علمی\u200cها', 'خیلی', 'کم', 'است']","['تعداد', 'انجمن', 'علمی\u200cها', 'خیلی', 'کم', '#است']"
61,مهلت وارد کردن نمره برای درس رو بیشتر کنین.,4,10.0,مهلت وارد کردن نمره برای درس رو بیشتر کنین,فن وارد کردن نمره همهی اساتید رو بیشتر کنین,"['مهلت', 'وارد', 'کردن', 'نمره', 'درس', 'بیشتر', 'کنین']","['مهلت', 'وارد', 'کردن', 'نمره', 'درس', 'بیشتر', 'کنین']"
62,شرایط مشروط شدن را نمی,1,5.0,شرایط مشروط شدن را نمی,پس معتاد شدن را نمی,"['شرایط', 'مشروط', 'شدن', 'نمی']","['شرایط', 'مشروط', 'شدن', 'نم']"
63,تاریخ انتخاب واحد چه روزی است؟,1,7.0,تاریخ انتخاب واحد چه روزی است,تاریخ یک واحد چه روزی میباشد,"['تاریخ', 'انتخاب', 'واحد', 'چه', 'روزی', 'است']","['تاریخ', 'انتخاب', 'واحد', 'چه', 'روز', '#است']"
64,سلف کجاست؟,2,3.0,سلف کجاست,داستان کجاست,"['سلف', 'کجاست']","['سلف', 'کجاست']"
65,قیمت این پیتزا چند,5,4.0,قیمت این پیتزا چند,درباره این خودرو چند,"['قیمت', 'این', 'پیتزا', 'چند']","['قیمت', 'این', 'پیتزا', 'چند']"
66,آیا کتابخانه کتاب سیگنال اپنهایم رو داره؟,3,8.0,آیا کتابخانه کتاب سیگنال اپنهایم رو داره,ایا کتابخانه ذخیره دیجیتال اپنهایم رو ؟,"['آیا', 'کتابخانه', 'کتاب', 'سیگنال', 'اپنهایم', 'داره']","['آیا', 'کتابخانه', 'کتاب', 'سیگنال', 'اپنهایم', 'داره']"
67,شماره تلفن اتاق دکتر ابراهیمی مقدم چند است؟,2,9.0,شماره تلفن اتاق دکتر ابراهیمی مقدم چند است,اما تلفن اقای دکتر ابراهیمی مقدم چند روز,"['شماره', 'تلفن', 'اتاق', 'دکتر', 'ابراهیمی', 'مقدم', 'چند', 'است']","['شماره', 'تلفن', 'اتاق', 'دکتر', 'ابراهیم', 'مقدم', 'چند', '#است']"
68,کامپیوتر سایت اینتدنت دارد؟,3,5.0,کامپیوتر سایت اینتدنت دارد,و سایت ازاد دارد,"['کامپیوتر', 'سایت', 'اینتدنت', 'دارد']","['کامپیوتر', 'سایت', 'اینتدنت', 'داشت#دار']"
69,یکی از کامپیوتر های سایت مشکل داره.,3,8.0,یکی از کامپیوتر‌های سایت مشکل داره,داره از کامپیوترهای سایت ۴ داره,"['یکی', 'کامپیوتر\u200cهای', 'سایت', 'مشکل', 'داره']","['یک', 'کامپیوتر\u200cهای', 'سایت', 'مشکل', 'داره']"
70,کجا میتوانم جست و جو کنم؟,3,7.0,کجا میتوانم جست و جو کنم,کجا میتوانم گفت و جو ؟,"['کجا', 'میتوانم', 'جست', 'جو', 'کنم']","['کجا', 'میتوانم', 'جست#جو', 'جو', 'کرد#کن']"
71,آخرین مهلت حذف کی است؟,1,6.0,آخرین مهلت حذف کی است,اخرین از ان کی است,"['آخرین', 'مهلت', 'حذف', 'کی', 'است']","['آخرین', 'مهلت', 'حذف', 'کی', '#است']"
72,چقدر جریمه دارم؟,3,4.0,چقدر جریمه دارم,چقدر قدرت دارم,"['چقدر', 'جریمه', 'دارم']","['چقدر', 'جریمه', 'داشت#دار']"
73,کلاس هوش مصنوعی در کدام کلاس برقرار می شود ؟,2,10.0,کلاس هوش مصنوعی در کدام کلاس برقرار می‌شود,کلاس هوش ویژه در کدام کلاس خواهیم بود,"['کلاس', 'هوش', 'مصنوعی', 'کدام', 'کلاس', 'برقرار', 'می\u200cشود']","['کلاس', 'هوش', 'مصنوع', 'کدام', 'کلاس', 'برقرار', 'شد#شو']"
74,به استادا بگید تابم کافی بدن واسه امتحان.,4,9.0,به استادا بگید تابم کافی بدن واسه امتحان,به استادا هم تابم وقتی ست واسه امتحان,"['استادا', 'بگید', 'تابم', 'کافی', 'بدن', 'واسه', 'امتحان']","['استادا', 'بگید', 'تاب', 'کافی', 'بدن', 'واسه', 'امتحان']"
75,دانشکده ریاضی چه قدر فاصله دارد؟,2,7.0,دانشکده ریاضی چه قدر فاصله دارد,دانشکده ریاضی چه استاد فاصله و,"['دانشکده', 'ریاضی', 'چه', 'قدر', 'فاصله', 'دارد']","['دانشکده', 'ریاضی', 'چه', 'قدر', 'فاصله', 'داشت#دار']"
76,معافیت تحصیلی تا کیه؟,5,5.0,معافیت تحصیلی تا کیه,بازی رانندگی تا کیه,"['معافیت', 'تحصیلی', 'کیه']","['معافیت', 'تحصیل', 'کیه']"
77,هاب کجاست؟,2,3.0,هاب کجاست,سرطان کجاست,"['هاب', 'کجاست']","['هاب', 'کجاست']"
78,چارت مهندسی کامپیوتر را بهتر کنید!,4,7.0,چارت مهندسی کامپیوتر را بهتر کنید,شرایط مهندسی شرکت را بهتر کنید,"['چارت', 'مهندسی', 'کامپیوتر', 'بهتر', 'کنید']","['چارت', 'مهندس', 'کامپیوتر', 'بهتر', 'کرد#کن']"
79,کنکور ارشد چه تاریخی برگزار میشه؟,5,7.0,کنکور ارشد چه تاریخی برگزار میشه,کنکور ارشد چه زمانی باز میشه,"['کنکور', 'ارشد', 'چه', 'تاریخی', 'برگزار', 'میشه']","['کنکور', 'ارشد', 'چه', 'تاریخ', 'برگزار', 'میشه']"
80,سالن داشنگاه رو چجوری میشه گرفت؟,5,7.0,سالن داشنگاه رو چجوری میشه گرفت,سالن فشرده سازی چجوری گاز گرفت,"['سالن', 'داشنگاه', 'چجوری', 'میشه', 'گرفت']","['سالن', 'داشنگاه', 'چجوری', 'میشه', 'گرفت#گیر']"
81,شرایط گرفتن معرفی به استاد چجوریه؟,1,7.0,شرایط گرفتن معرفی به استاد چجوریه,اما گرفتن وجه به استاد در,"['شرایط', 'گرفتن', 'معرفی', 'استاد', 'چجوریه']","['شرایط', 'گرفتن', 'معرف', 'استاد', 'چجوریه']"
82,پریز های میز ردیف 4 آمفی تئاتر برق ندارند.رسیدگی کنید,4,12.0,پریز‌های میز ردیف آمفی تئاتر برق ندارندرسیدگی کنید,دو میز ردیف کننده گاه راه ندارندرسیدگی کنید,"['پریز\u200cهای', 'میز', 'ردیف', 'آمفی', 'تئاتر', 'برق', 'ندارندرسیدگی', 'کنید']","['پریز', 'میز', 'ردیف', 'آمفی', 'تئاتر', 'برق', 'ندارندرسیدگی', 'کرد#کن']"
83,چگونه میتوان دروس پیشنیاز و همنیاز را با هم برداشت؟,1,11.0,چگونه میتوان دروس پیشنیاز و همنیاز را با هم برداشت,باید میشد دروس پیشنیاز و هدف را با موفقیت برداشت,"['چگونه', 'میتوان', 'دروس', 'پیشنیاز', 'همنیاز', 'هم', 'برداشت']","['چگونه', 'میتوان', 'دروس', 'پیشنیاز', 'همنیاز', 'هم', 'برداشت']"
84,یوزر نیم سیستم چیه,3,4.0,یوزر نیم سیستم چیه,یوزر در سیستم اما,"['یوزر', 'نیم', 'سیستم', 'چیه']","['یوزر', 'نیم', 'سیستم', 'چیه']"
86,کیف پول من گمشده. کسی آن را به شما تحویل نداده؟,2,13.0,کیف پول من گمشده کسی آن را به شما تحویل نداده,حیف پول من گمشده چرا ان را به پلیس تحویل نمیدهید,"['کیف', 'پول', 'گمشده', 'کسی', 'آن', 'تحویل', 'نداده']","['کیف', 'پول', 'گمشده', 'کس', 'آن', 'تحویل', 'نداده']"
87,خود اساتید نظرسنجی را می بینند؟,1,7.0,خود اساتید نظرسنجی را می‌بینند,بله انها نظرسنجی را میبینند,"['خود', 'اساتید', 'نظرسنجی', 'می\u200cبینند']","['خود', 'اساتید', 'نظرسنجی', 'دید#بین']"
88,اساتید خیلی سختگیراند,4,3.0,اساتید خیلی سختگیراند,چینیها بسیار سختگیراند,"['اساتید', 'خیلی', 'سختگیراند']","['اساتید', 'خیلی', 'سختگیراند']"
89,رییس کل دانشگاه رو کجا می شود دید؟,2,9.0,رییس کل دانشگاه رو کجا می‌شود دید,رییس کل دانشگاه میگفت کجا میدانی ،,"['رییس', 'کل', 'دانشگاه', 'کجا', 'می\u200cشود', 'دید']","['رییس', 'کل', 'دانشگاه', 'کجا', 'شد#شو', 'دید']"
90,میانگین h-index اساتید دانشکده چقدر است؟,5,7.0,میانگین hindex اساتید دانشکده چقدر است,میانگین hindex در ایران چقدر استت,"['میانگین', 'hindex', 'اساتید', 'دانشکده', 'چقدر', 'است']","['میانگین', 'hindex', 'اساتید', 'دانشکده', 'چقدر', '#است']"
91,چگونه جریمه نخورم؟,3,4.0,چگونه جریمه نخورم,شما جریمه شدید,"['چگونه', 'جریمه', 'نخورم']","['چگونه', 'جریمه', 'خورد#خور']"
92,سطح امتحانات با سطح آموزش تناسب ندارد.,4,8.0,سطح امتحانات با سطح آموزش تناسب ندارد,کدام امتحانات با سطح امتحانات تناسب دارد,"['سطح', 'امتحانات', 'سطح', 'آموزش', 'تناسب', 'ندارد']","['سطح', 'امتحانات', 'سطح', 'آموزش', 'تناسب', 'داشت#دار']"
93,محل تشکیل کلاس مبانی کامپیوتر کجا است؟,2,8.0,محل تشکیل کلاس مبانی کامپیوتر کجا است,محل تشکیل کتابخانه از کامپیوتر الزامی است,"['محل', 'تشکیل', 'کلاس', 'مبانی', 'کامپیوتر', 'کجا', 'است']","['محل', 'تشکیل', 'کلاس', 'مبانی', 'کامپیوتر', 'کجا', '#است']"
94,چرا برای دانشجویان پارکینگ مناسب تعیبیه نشده است؟,5,8.0,چرا برای دانشجویان پارکینگ مناسب تعیبیه نشده است,چرا در دانشجویان وضعیت مناسب تعیبیه نشده …,"['چرا', 'دانشجویان', 'پارکینگ', 'مناسب', 'تعیبیه', 'نشده_است']","['چرا', 'دانشجو', 'پارکینگ', 'مناسب', 'تعیبیه', 'شد#شو']"
95,نزدیکترین مکان به سلف غذا خوری چیست؟,2,8.0,نزدیکترین مکان به سلف غذا خوری چیست,محبوبترین مکان به منظور غذا خوری با,"['نزدیکترین', 'مکان', 'سلف', 'غذا', 'خوری', 'چیست']","['نزدیک', 'مکان', 'سلف', 'غذا', 'خورد#خور', 'چیست']"
